id,value
DesignPhases,
DesignPhases.Deliver,
DesignPhases.Deliver.Generate,
DesignPhases.Deliver.Generate.ChatGPT,3
DesignPhases.Deliver.Generate.Components_ai,4
DesignPhases.Deliver.Generate.Midjouney,5
DesignPhases.Deliver.Generate.Jasper_ai,6
DesignPhases.Deliver.Generate.DeBuild,7
DesignPhases.Deliver.Generate.Codex,8
DesignPhases.Deliver.Generate.Copy_ai,9
DesignPhases.Deliver.Generate.Anyword,10
DesignPhases.Deliver.Generate.Notion_AI,11
DesignPhases.Deliver.Generate.Subly,12
DesignPhases.Deliver.Generate.Open_AI_in_Spreadsheet,13
DesignPhases.Deliver.Generate.Fig_GPT_Figma_Plugin,14
DesignPhases.Deliver.Generate.Mintlify,15
DesignPhases.Deliver.Generate.Fact_GPT,16
DesignPhases.Deliver.Generate.TrainEngine_ai,17
DesignPhases.Deliver.Generate.Jot_App,18
DesignPhases.Deliver.Generate.DayDrm,19
DesignPhases.Deliver.Generate.Artflow,20
DesignPhases.Deliver.Generate.Iconify,21
DesignPhases.Deliver.Generate.AppIcons_ai,22
DesignPhases.Deliver.Generate.Flutterflow_AI_Gen,23
DesignPhases.Deliver.Generate.Sutro,24
DesignPhases.Deliver.Generate.weTune,25
DesignPhases.Deliver.Generate.Code_Generator_for_Arduino,26
DesignPhases.Deliver.Generate.NeauralText,27
DesignPhases.Deliver.Generate.Autoblogger_ai,28
DesignPhases.Deliver.Generate.Reword,29
DesignPhases.Deliver.Generate.AI_Reality,30
DesignPhases.Deliver.Generate.Krikey_AI,31
DesignPhases.Deliver.Generate.Text_to_Book_Cover,32
DesignPhases.Deliver.Generate.Penelope_ai,33
DesignPhases.Deliver.Generate.Visily,34
DesignPhases.Deliver.Generate.Generated_photos,35
DesignPhases.Deliver.Generate.Batternut_AI,36
DesignPhases.Deliver.Generate.Durable,37
DesignPhases.Deliver.Generate.TeleportHQ,38
DesignPhases.Deliver.Generate.WZRD_ai,39
DesignPhases.Deliver.Optimize,
DesignPhases.Deliver.Optimize.Playform_ai,41
DesignPhases.Deliver.Optimize.Lunacy,42
DesignPhases.Deliver.Optimize.Anyword,43
DesignPhases.Deliver.Optimize.Notion_AI,44
DesignPhases.Deliver.Optimize.Crystal,45
DesignPhases.Deliver.Optimize.Fylm_ai,46
DesignPhases.Deliver.Optimize.Colourlab_ai,47
DesignPhases.Deliver.Optimize.Topaz_Lab,48
DesignPhases.Deliver.Optimize.Mintlify,49
DesignPhases.Deliver.Optimize.TrainEngine_ai,50
DesignPhases.Deliver.Optimize.Reword,51
DesignPhases.Deliver.Optimize.Adobe_Speech_Enhancer,52
DesignPhases.Deliver.Optimize.Nonoisy,53
DesignPhases.Deliver.Optimize.Noise_Eraser,54
DesignPhases.Deliver.Optimize.Audo_Studio,55
DesignPhases.Deliver.Optimize.Remove_bg,56
DesignPhases.Deliver.Optimize.Visily,57
DesignPhases.Deliver.Optimize.TeleportHQ,58
DesignPhases.Deliver.Summarize,
DesignPhases.Deliver.Summarize.2short_ai,60
DesignPhases.Deliver.Translate,
DesignPhases.Deliver.Translate.ChatGPT,62
DesignPhases.Deliver.Translate.Jasper_ai,63
DesignPhases.Deliver.Translate.Lunacy,64
DesignPhases.Deliver.Translate.Notion_AI,65
DesignPhases.Deliver.Translate.Subly,66
DesignPhases.Deliver.Translate.Open_AI_in_Spreadsheet,67
DesignPhases.Deliver.Translate.Vivid,68
DesignPhases.Deliver.Translate.Ermine_ai,69
DesignPhases.Deliver.Translate.Deciphr_AI,70
DesignPhases.Deliver.Translate.GoodTape,71
DesignPhases.Deliver.Visualize,
DesignPhases.Deliver.Visualize.Kumu,73
DesignPhases.Ideate,
DesignPhases.Ideate.Generate,
DesignPhases.Ideate.Generate.ChatGPT,76
DesignPhases.Ideate.Generate.RUNWAY_ML,77
DesignPhases.Ideate.Generate.Wekinator,78
DesignPhases.Ideate.Generate.Playform_ai,79
DesignPhases.Ideate.Generate.Components_ai,80
DesignPhases.Ideate.Generate.DALL-e,81
DesignPhases.Ideate.Generate.Midjouney,82
DesignPhases.Ideate.Generate.Jasper_ai,83
DesignPhases.Ideate.Generate.Lunacy,84
DesignPhases.Ideate.Generate.Looka,85
DesignPhases.Ideate.Generate.Unstock_ai,86
DesignPhases.Ideate.Generate.DreamStudio,87
DesignPhases.Ideate.Generate.Stable_Diffusion,88
DesignPhases.Ideate.Generate.Moon_Beam,89
DesignPhases.Ideate.Generate.Copy_ai,90
DesignPhases.Ideate.Generate.Notion_AI,91
DesignPhases.Ideate.Generate.Magician,92
DesignPhases.Ideate.Generate.Soundraw,93
DesignPhases.Ideate.Generate.AutoDraw,94
DesignPhases.Ideate.Generate.Adobe_Firefly,95
DesignPhases.Ideate.Generate.PitchBob,96
DesignPhases.Ideate.Generate.Dektopus,97
DesignPhases.Ideate.Generate.WithPoly,98
DesignPhases.Ideate.Generate.Masterpiece_studio,99
DesignPhases.Ideate.Generate.Plask_ai,100
DesignPhases.Ideate.Generate.Ponzu_gg,101
DesignPhases.Ideate.Generate.SkyBox_Lab_-_Blockade_,102
DesignPhases.Ideate.Generate.Open_AI_in_Spreadsheet,103
DesignPhases.Ideate.Generate.Fig_GPT_Figma_Plugin,104
DesignPhases.Ideate.Generate.Mintlify,105
DesignPhases.Ideate.Generate.Fact_GPT_,106
DesignPhases.Ideate.Generate.TrainEngine_ai,107
DesignPhases.Ideate.Generate.Jot_App,108
DesignPhases.Ideate.Generate.DayDrm,109
DesignPhases.Ideate.Generate.Artflow,110
DesignPhases.Ideate.Generate.Iconify,111
DesignPhases.Ideate.Generate.AppIcons_ai,112
DesignPhases.Ideate.Generate.Flutterflow_AI_Gen,113
DesignPhases.Ideate.Generate.Sutro,114
DesignPhases.Ideate.Generate.weTune,115
DesignPhases.Ideate.Generate.Code_Generator_for_Arduino,116
DesignPhases.Ideate.Generate.NeauralText,117
DesignPhases.Ideate.Generate.Autoblogger_ai,118
DesignPhases.Ideate.Generate.Reword,119
DesignPhases.Ideate.Generate.AI_Reality,120
DesignPhases.Ideate.Generate.Krikey_AI,121
DesignPhases.Ideate.Generate.Text_to_Book_Cover,122
DesignPhases.Ideate.Generate.Penelope_ai,123
DesignPhases.Ideate.Generate.Visily,124
DesignPhases.Ideate.Generate.Generated_photos,125
DesignPhases.Ideate.Generate.Batternut_AI,126
DesignPhases.Ideate.Generate.Durable,127
DesignPhases.Ideate.Generate.TeleportHQ,128
DesignPhases.Ideate.Generate.WZRD_ai,129
DesignPhases.Ideate.Recommend,
DesignPhases.Ideate.Recommend.UIBot,131
DesignPhases.Ideate.Recommend.FontJoy,132
DesignPhases.Ideate.Recommend.Wikiview_net,133
DesignPhases.Ideate.Recommend.AutoDraw,134
DesignPhases.Ideate.Recommend.Ponzu_gg,135
DesignPhases.Ideate.Recommend.TuneTheAds,136
DesignPhases.Ideate.Recommend.Maket,137
DesignPhases.Ideate.Translate,
DesignPhases.Ideate.Translate.ChatGPT,139
DesignPhases.Ideate.Translate.RUNWAY_ML,140
DesignPhases.Ideate.Translate.ML5,141
DesignPhases.Ideate.Translate.Pix2Pix,142
DesignPhases.Ideate.Translate.Playform_ai,143
DesignPhases.Ideate.Translate.Adobe_Firefly,144
DesignPhases.Ideate.Translate.Open_AI_in_Spreadsheet,145
DesignPhases.Ideate.Translate.Vivid,146
DesignPhases.Ideate.Translate.Ermine_ai,147
DesignPhases.Ideate.Translate.Deciphr_AI,148
DesignPhases.Ideate.Translate.GoodTape,149
DesignPhases.Implement,
DesignPhases.Implement.Debug,
DesignPhases.Implement.Debug.ChatGPT,152
DesignPhases.Implement.Debug.Notion_AI,153
DesignPhases.Implement.Debug.Open_AI_in_Spreadsheet,154
DesignPhases.Implement.Optimize,
DesignPhases.Implement.Optimize.Fylm_ai,156
DesignPhases.Implement.Optimize.Colourlab_ai,157
DesignPhases.Implement.Test,
DesignPhases.Implement.Test.Components_ai,159
DesignPhases.Implement.Test.Label_Studio,160
DesignPhases.Implement.Test.Anyword,161
DesignPhases.Implement.Test.AI_Reality,162
DesignPhases.Prototype,
DesignPhases.Prototype.Debug,
DesignPhases.Prototype.Debug.ChatGPT,165
DesignPhases.Prototype.Debug.Open_AI_in_Spreadsheet,166
DesignPhases.Prototype.Generate,
DesignPhases.Prototype.Generate.ChatGPT,168
DesignPhases.Prototype.Generate.RUNWAY_ML,169
DesignPhases.Prototype.Generate.ML5,170
DesignPhases.Prototype.Generate.Wekinator,171
DesignPhases.Prototype.Generate.Playform_ai,172
DesignPhases.Prototype.Generate.Components_ai,173
DesignPhases.Prototype.Generate.DALL-e,174
DesignPhases.Prototype.Generate.Midjouney,175
DesignPhases.Prototype.Generate.DeBuild,176
DesignPhases.Prototype.Generate.Lunacy,177
DesignPhases.Prototype.Generate.Unstock_ai,178
DesignPhases.Prototype.Generate.DreamStudio,179
DesignPhases.Prototype.Generate.Stable_Diffusion,180
DesignPhases.Prototype.Generate.Codex,181
DesignPhases.Prototype.Generate.Magician,182
DesignPhases.Prototype.Generate.II_Eleven_Labs,183
DesignPhases.Prototype.Generate.Two_Tone,184
DesignPhases.Prototype.Generate.Adobe_Firefly,185
DesignPhases.Prototype.Generate.Dektopus,186
DesignPhases.Prototype.Generate.WithPoly,187
DesignPhases.Prototype.Generate.Masterpiece_studio,188
DesignPhases.Prototype.Generate.Luma_AI,189
DesignPhases.Prototype.Generate.Ponzu_gg,190
DesignPhases.Prototype.Generate.3dfy_ai,191
DesignPhases.Prototype.Generate.Spline_AI,192
DesignPhases.Prototype.Generate.SkyBox_Lab_-_Blockade_,193
DesignPhases.Prototype.Generate.Make3d_App,194
DesignPhases.Prototype.Generate.Open_AI_in_Spreadsheet,195
DesignPhases.Prototype.Generate.Fig_GPT_Figma_Plugin,196
DesignPhases.Prototype.Generate.Mintlify,197
DesignPhases.Prototype.Generate.Fact_GPT_,198
DesignPhases.Prototype.Generate.TrainEngine_ai,199
DesignPhases.Prototype.Generate.Jot_App,200
DesignPhases.Prototype.Generate.DayDrm,201
DesignPhases.Prototype.Generate.Artflow,202
DesignPhases.Prototype.Generate.Iconify,203
DesignPhases.Prototype.Generate.AppIcons_ai,204
DesignPhases.Prototype.Generate.Flutterflow_AI_Gen,205
DesignPhases.Prototype.Generate.Sutro,206
DesignPhases.Prototype.Generate.weTune,207
DesignPhases.Prototype.Generate.Code_Generator_for_Arduino,208
DesignPhases.Prototype.Generate.NeauralText,209
DesignPhases.Prototype.Generate.Autoblogger_ai,210
DesignPhases.Prototype.Generate.Reword,211
DesignPhases.Prototype.Generate.AI_Reality,212
DesignPhases.Prototype.Generate.Krikey_AI,213
DesignPhases.Prototype.Generate.Text_to_Book_Cover,214
DesignPhases.Prototype.Generate.Penelope_ai,215
DesignPhases.Prototype.Generate.Visily,216
DesignPhases.Prototype.Generate.Generated_photos,217
DesignPhases.Prototype.Generate.Batternut_AI,218
DesignPhases.Prototype.Generate.Durable,219
DesignPhases.Prototype.Generate.TeleportHQ,220
DesignPhases.Prototype.Generate.WZRD_ai,221
DesignPhases.Prototype.Optimize,
DesignPhases.Prototype.Optimize.Lunacy,223
DesignPhases.Prototype.Optimize.Mintlify,224
DesignPhases.Prototype.Optimize.TrainEngine_ai,225
DesignPhases.Prototype.Optimize.Reword,226
DesignPhases.Prototype.Optimize.Adobe_Speech_Enhancer,227
DesignPhases.Prototype.Optimize.Nonoisy,228
DesignPhases.Prototype.Optimize.Noise_Eraser,229
DesignPhases.Prototype.Optimize.Audo_Studio,230
DesignPhases.Prototype.Optimize.Remove_bg,231
DesignPhases.Prototype.Optimize.Visily,232
DesignPhases.Prototype.Optimize.TeleportHQ,233
DesignPhases.Prototype.Recognise,
DesignPhases.Prototype.Recognise.RUNWAY_ML,235
DesignPhases.Prototype.Recognise.ML5,236
DesignPhases.Prototype.Recognise.Lobe,237
DesignPhases.Prototype.Recognise.Teachable_Machine,238
DesignPhases.Prototype.Recognise.Label_Studio,239
DesignPhases.Prototype.Recognise.Akiwi,240
DesignPhases.Prototype.Recognise.DeepMotion,241
DesignPhases.Prototype.Recognise.GPTzero,242
DesignPhases.Prototype.Recognise.CheckForAI,243
DesignPhases.Prototype.Recognise.Elicit,244
DesignPhases.Prototype.Translate,
DesignPhases.Prototype.Translate.Pix2Pix,246
DesignPhases.Prototype.Translate.Sonantic,247
DesignPhases.Research,
DesignPhases.Research.Collect,
DesignPhases.Research.Collect.ChatGPT,250
DesignPhases.Research.Collect.ML5,251
DesignPhases.Research.Collect.Wikiview_net,252
DesignPhases.Research.Collect.Apify,253
DesignPhases.Research.Collect.Youtube_Data_Tools,254
DesignPhases.Research.Collect.Crowdtangle,255
DesignPhases.Research.Collect.Tumbrl_Tool,256
DesignPhases.Research.Collect.Google_Play_Scraper,257
DesignPhases.Research.Collect.WIkipedia_cross-lingual_Images_Analysis,258
DesignPhases.Research.Collect.Parrot_ai,259
DesignPhases.Research.Collect.Typeset,260
DesignPhases.Research.Collect.Next_Three_Book,261
DesignPhases.Research.Collect.Bookclub_ai,262
DesignPhases.Research.Collect.Bookabout,263
DesignPhases.Research.Collect.Website_to_Spreadsheet,264
DesignPhases.Research.Translate,
DesignPhases.Research.Translate.ChatGPT,266
DesignPhases.Research.Translate.Jasper_ai,267
DesignPhases.Research.Translate.Notion_AI,268
DesignPhases.Research.Translate.Open_AI_in_Spreadsheet,269
DesignPhases.Research.Translate.Vivid,270
DesignPhases.Research.Translate.Ermine_ai,271
DesignPhases.Research.Translate.Deciphr_AI,272
DesignPhases.Research.Translate.GoodTape,273
DesignPhases.Synthesize,
DesignPhases.Synthesize.Classify,
DesignPhases.Synthesize.Classify.ML5,276
DesignPhases.Synthesize.Classify.Label_Studio,277
DesignPhases.Synthesize.Classify.ImagePlot,278
DesignPhases.Synthesize.Classify.Pic_Arrange,279
DesignPhases.Synthesize.Classify.Kiano,280
DesignPhases.Synthesize.Classify.ImageX,281
DesignPhases.Synthesize.Classify.Image_Sorter,282
DesignPhases.Synthesize.Classify.Word_Wanderer,283
DesignPhases.Synthesize.Classify.Textometrica,284
DesignPhases.Synthesize.Classify.Nomic_AI,285
DesignPhases.Synthesize.Classify.Edge_Impulse,286
DesignPhases.Synthesize.Classify.Tiny_Motion_Trainer,287
DesignPhases.Synthesize.Classify.CheckForAI,288
DesignPhases.Synthesize.Classify.Datature,289
DesignPhases.Synthesize.Collect,
DesignPhases.Synthesize.Collect.Parrot_ai,291
DesignPhases.Synthesize.Collect.Transvibe,292
DesignPhases.Synthesize.Collect.Bot_Sheets,293
DesignPhases.Synthesize.Collect.Typeset,294
DesignPhases.Synthesize.Collect.Next_Three_Book,295
DesignPhases.Synthesize.Collect.Bookclub_ai,296
DesignPhases.Synthesize.Collect.Bookabout,297
DesignPhases.Synthesize.Collect.Website_to_Spreadsheet,298
DesignPhases.Synthesize.Rank,
DesignPhases.Synthesize.Rank.ImagePlot,300
DesignPhases.Synthesize.Rank.Pic_Arrange,301
DesignPhases.Synthesize.Rank.Kiano,302
DesignPhases.Synthesize.Rank.ImageX,303
DesignPhases.Synthesize.Rank.Image_Sorter,304
DesignPhases.Synthesize.Rank.Word_Wanderer,305
DesignPhases.Synthesize.Rank.Tag_Crowd,306
DesignPhases.Synthesize.Rank.Wordtree,307
DesignPhases.Synthesize.Rank.Textometrica,308
DesignPhases.Synthesize.Rank.Voynat_Tool,309
DesignPhases.Synthesize.Rank.Gephi,310
DesignPhases.Synthesize.Rank.Kumu,311
DesignPhases.Synthesize.Recognise,
DesignPhases.Synthesize.Recognise.RUNWAY_ML,313
DesignPhases.Synthesize.Recognise.ML5,314
DesignPhases.Synthesize.Recognise.Lobe,315
DesignPhases.Synthesize.Recognise.Teachable_Machine,316
DesignPhases.Synthesize.Recognise.Memespector,317
DesignPhases.Synthesize.Recognise.Immaging_Tagging_Tool_Interface,318
DesignPhases.Synthesize.Recognise.Label_Studio,319
DesignPhases.Synthesize.Recognise.Akiwi,320
DesignPhases.Synthesize.Recognise.GPTzero,321
DesignPhases.Synthesize.Recognise.CheckForAI,322
DesignPhases.Synthesize.Recognise.Elicit,323
DesignPhases.Synthesize.Summarize,
DesignPhases.Synthesize.Summarize.ChatGPT,325
DesignPhases.Synthesize.Summarize.Notion_AI,326
DesignPhases.Synthesize.Summarize.Parrot_ai,327
DesignPhases.Synthesize.Summarize.GLASP_-_Youtube_summary_with_Chatgpt,328
DesignPhases.Synthesize.Summarize.TLDR__Youtube,329
DesignPhases.Synthesize.Summarize.You-tldr,330
DesignPhases.Synthesize.Summarize.You-tldr,331
DesignPhases.Synthesize.Summarize.Eightify,332
DesignPhases.Synthesize.Summarize.Youtube_Summarized,333
DesignPhases.Synthesize.Summarize.Fig_GPT_Figma_Plugin,334
DesignPhases.Synthesize.Summarize.Typeset,335
DesignPhases.Synthesize.Summarize.MagicBrief,336
DesignPhases.Synthesize.Summarize.WebMagicAI,337
DesignPhases.Synthesize.Summarize.Tweetify_it,338
DesignPhases.Synthesize.Summarize.Arxiv_Summary_Tool,339
DesignPhases.Synthesize.Summarize.ArxivGPT,340
DesignPhases.Synthesize.Summarize.Penelope_ai,341
DesignPhases.Synthesize.Summarize.Bluf_ai,342
DesignPhases.Synthesize.Summarize.SiteExplainer,343
DesignPhases.Synthesize.Translate,
DesignPhases.Synthesize.Translate.Open_AI_in_Spreadsheet,345
DesignPhases.Synthesize.Translate.Vivid,346
DesignPhases.Synthesize.Translate.Ermine_ai,347
DesignPhases.Synthesize.Translate.Deciphr_AI,348
DesignPhases.Synthesize.Translate.GoodTape,349
DesignPhases.Synthesize.Visualize,
DesignPhases.Synthesize.Visualize.Tag_Crowd,351
DesignPhases.Synthesize.Visualize.Wordtree,352
DesignPhases.Synthesize.Visualize.Textometrica,353
DesignPhases.Synthesize.Visualize.Voynat_Tool,354
DesignPhases.Synthesize.Visualize.Gephi,355
DesignPhases.Synthesize.Visualize.Kumu,356
DesignPhases.Synthesize.Visualize.Nomic_AI,357